=== MATCH SCHEDULE FOR SATURDAY ===
06:00 PM - 06:10 PM | DMS143 | Court 4
06:00 PM - 06:10 PM | DMS144 | Court 5
06:00 PM - 06:10 PM | DMS145 | Court 6
06:00 PM - 06:10 PM | DMS146 | Court 7
06:00 PM - 06:10 PM | DMS147 | Court 8
06:00 PM - 06:10 PM | DMS172 | Court 9
06:00 PM - 06:30 PM | DWS25  | Court 10
06:10 PM - 06:40 PM | DWS26  | Court 15
06:10 PM - 06:40 PM | DWS27  | Court 16
06:10 PM - 06:40 PM | DWS28  | Court 17
06:10 PM - 06:40 PM | CMS121 | Court 17
06:10 PM - 06:40 PM | CMS122 | Court 4
06:10 PM - 06:40 PM | CMS123 | Court 5
06:10 PM - 06:40 PM | CMS124 | Court 6
06:10 PM - 06:20 PM | CMS192 | Court 7
06:10 PM - 06:20 PM | CMS193 | Court 8
06:10 PM - 06:20 PM | CMS194 | Court 9
06:20 PM - 06:30 PM | CMS195 | Court 7
06:20 PM - 06:30 PM | CMS196 | Court 8
06:20 PM - 06:30 PM | CMS197 | Court 9
06:30 PM - 06:40 PM | CMS198 | Court 11
06:30 PM - 06:40 PM | CMS199 | Court 12
06:30 PM - 06:40 PM | CMS200 | Court 13
06:30 PM - 06:40 PM | CMS201 | Court 14
06:30 PM - 06:40 PM | CMS202 | Court 1
06:30 PM - 06:40 PM | CMS203 | Court 2
06:30 PM - 06:40 PM | CMS204 | Court 3
06:30 PM - 06:40 PM | CMS205 | Court 7
06:30 PM - 06:40 PM | CMS206 | Court 8
06:30 PM - 06:40 PM | CMS207 | Court 9
06:30 PM - 07:00 PM | CWS9   | Court 10
06:40 PM - 07:10 PM | CWS10  | Court 15
06:40 PM - 07:10 PM | CWS11  | Court 16
06:40 PM - 07:10 PM | CWS12  | Court 17
06:40 PM - 07:10 PM | AWS3   | Court 1
06:40 PM - 07:10 PM | AWS4   | Court 2
06:40 PM - 07:10 PM | BMS25  | Court 11
06:40 PM - 07:10 PM | BMS26  | Court 12
06:40 PM - 07:10 PM | BMS27  | Court 13
06:40 PM - 07:10 PM | BMS28  | Court 14
06:40 PM - 07:10 PM | DMS121 | Court 17
06:40 PM - 07:10 PM | DMS122 | Court 3
06:40 PM - 07:10 PM | DMS123 | Court 4
06:40 PM - 07:10 PM | DMS124 | Court 5
06:40 PM - 06:50 PM | DMS192 | Court 6
06:40 PM - 06:50 PM | DMS193 | Court 7
06:40 PM - 06:50 PM | DMS194 | Court 8
06:40 PM - 06:50 PM | DMS195 | Court 9
06:50 PM - 07:00 PM | DMS196 | Court 6
06:50 PM - 07:00 PM | DMS197 | Court 7
06:50 PM - 07:00 PM | DMS198 | Court 8
06:50 PM - 07:00 PM | DMS199 | Court 9
07:00 PM - 07:10 PM | DMS200 | Court 6
07:00 PM - 07:10 PM | DMS201 | Court 7
07:00 PM - 07:10 PM | DMS202 | Court 8
07:00 PM - 07:10 PM | DMS203 | Court 9
07:00 PM - 07:10 PM | DMS204 | Court 10
07:10 PM - 07:20 PM | DMS205 | Court 15
07:10 PM - 07:20 PM | DMS206 | Court 16
07:10 PM - 07:20 PM | DMS207 | Court 17
07:10 PM - 07:40 PM | CXD57  | Court 17
07:10 PM - 07:40 PM | CXD58  | Court 11
07:10 PM - 07:40 PM | CXD59  | Court 12
07:10 PM - 07:40 PM | CXD60  | Court 13
07:10 PM - 07:20 PM | CXD71  | Court 14
07:10 PM - 07:20 PM | CXD72  | Court 1
07:10 PM - 07:20 PM | CXD76  | Court 2
07:10 PM - 07:20 PM | CXD80  | Court 3
07:10 PM - 07:20 PM | CXD81  | Court 4
07:10 PM - 07:20 PM | CXD82  | Court 5
07:10 PM - 07:20 PM | CXD83  | Court 6
07:10 PM - 07:20 PM | CXD84  | Court 7
07:10 PM - 07:20 PM | CXD85  | Court 8
07:10 PM - 07:20 PM | CXD86  | Court 9
07:10 PM - 07:20 PM | CXD89  | Court 10
07:20 PM - 07:30 PM | CXD90  | Court 15
07:20 PM - 07:30 PM | CXD91  | Court 16
07:20 PM - 07:30 PM | CXD93  | Court 17
07:20 PM - 07:30 PM | CXD94  | Court 14
07:20 PM - 07:30 PM | CXD95  | Court 1
07:20 PM - 07:50 PM | AXD9   | Court 2
07:20 PM - 07:50 PM | AXD10  | Court 3
07:20 PM - 07:50 PM | AXD11  | Court 4
07:20 PM - 07:50 PM | AXD12  | Court 5
07:20 PM - 07:50 PM | AMS9   | Court 6
07:20 PM - 07:50 PM | AMS10  | Court 7
07:20 PM - 07:50 PM | AMS11  | Court 8
07:20 PM - 07:50 PM | AMS12  | Court 9
